,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
613,Islamkot,PK,81.41,clear sky,24.6997,70.177,Pizza point islamkot
619,Banda Aceh,ID,83.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
621,Salinopolis,BR,80.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
623,Abu Dhabi,AE,77.97,broken clouds,24.4667,54.3667,Beach Rotana
624,Kroya,ID,82.67,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
644,Ramhormoz,IR,79.29,overcast clouds,31.28,49.6035,کافی نت کاریزما
646,Paciran,ID,86.32,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
648,Ratnagiri,IN,76.39,clear sky,16.9833,73.3,Hotel Landmark
650,Beneditinos,BR,80.74,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
652,Pindwara,IN,75.72,clear sky,24.8,73.0667,Bamanwadji Jain Dharamshala
655,Chandbali,IN,78.89,scattered clouds,20.7833,86.7667,Sabitri Bhavan
657,Simao,CN,75.76,clear sky,22.7886,100.9748,Changyu Hotel
658,Puerto Ayacucho,VE,75.52,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
659,Koumac,NC,80.24,few clouds,-20.5667,164.2833,Le Monitel
664,Port-Gentil,GA,78.35,light rain,-0.7193,8.7815,Fengshui Residence
667,Sibolga,ID,77.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
674,Fayaoue,NC,77.56,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
684,Sarangani,PH,83.41,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
687,Gweta,BW,76.39,overcast clouds,-20.1833,25.2333,Gweta Lodge
693,Sur,OM,76.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
695,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
696,Monrovia,LR,77.52,light rain,6.3005,-10.7969,Sunset Inn
700,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
702,Victoria Point,AU,86.68,broken clouds,-27.5833,153.3,Bay Retreat Motel
707,Sola,VU,88.47,clear sky,-13.8833,167.55,Leumerus Bungalows
710,Alice Springs,AU,83.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
