City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
280,Constitucion,CL,-35.3333,-72.4167,56.82,30,0,18.16,clear sky
281,Montepuez,MZ,-13.1256,38.9997,65.98,89,9,3.62,clear sky
282,Luxor,EG,25.6989,32.6421,68.05,56,0,2.3,clear sky
283,San Patricio,US,28.017,-97.5169,71.83,61,71,6.38,broken clouds
284,Langedijk,NL,52.7,4.8,54.01,72,38,1.99,scattered clouds
285,Siaya,KE,0.0612,34.2882,61.68,84,13,4.65,few clouds
286,Bara,NG,10.3744,10.7288,72.68,35,98,4.72,overcast clouds
287,Khudumelapye,BW,-23.8833,24.75,72.68,47,100,6.55,overcast clouds
288,Hami,CN,42.8,93.45,49.95,19,100,2.19,overcast clouds
289,Namtsy,RU,62.7161,129.6658,8.85,87,100,3.29,overcast clouds
290,Klerksdorp,ZA,-26.8521,26.6667,63.14,59,100,4.85,overcast clouds
291,Sladkovo,RU,55.5284,70.3385,22.05,88,11,6.13,few clouds
292,Reo,BF,12.3167,-2.4667,75.9,27,0,8.16,clear sky
293,Caibarien,CU,22.5206,-79.4669,76.32,79,1,8.21,clear sky
294,Bagan,RU,54.1001,77.6646,28.85,71,100,4.52,overcast clouds
295,Vaitape,PF,-16.5167,-151.75,79.43,78,14,12.57,light rain
296,Kajaani,FI,64.2273,27.7285,21.25,93,0,1.14,clear sky
297,Salemi,IT,37.8231,12.8056,59.68,71,0,3.67,clear sky
298,Richards Bay,ZA,-28.783,32.0377,67.35,86,100,14.88,light rain
299,Lata,PT,40.1629,-8.3327,63.81,87,100,4.36,light rain
300,Santa Maria,BR,-29.6842,-53.8069,69.1,83,75,4.61,broken clouds
301,Merauke,ID,-8.4667,140.3333,89.29,64,8,10.96,clear sky
302,Mwinilunga,ZM,-11.7358,24.4293,60.46,92,90,2.68,overcast clouds
303,Palmer,US,42.1584,-72.3287,50.41,70,75,0.0,broken clouds
304,Kavaratti,IN,10.5669,72.642,82.09,68,58,1.34,broken clouds
305,Darnah,LY,32.767,22.6367,65.88,73,65,13.13,light rain
306,Heubach,DE,48.7927,9.9337,54.68,82,70,1.45,broken clouds
307,Bayanday,RU,53.0661,105.5139,23.11,56,7,7.14,clear sky
308,Morristown,US,36.214,-83.2949,60.1,88,100,4.61,moderate rain
309,Kwinana,AU,-32.25,115.7667,66.34,49,31,5.99,scattered clouds
310,Atambua,ID,-9.1061,124.8925,84.04,63,99,3.47,overcast clouds
311,Tautira,PF,-17.7333,-149.15,79.25,76,54,11.01,broken clouds
